AFE_REG_6D_Time,AFE_REG_6D_Value,ECG_Time,ECG_Value,ECG_RAW_Time,ECG_RAW_Value,TIA1-3_Time,TIA1-3_Value,TIA1-3_RAW_Time,TIA1-3_RAW_Value
0.0,10.0,0.0,0.008033180236816406,0.0,14039.0,0.0,-0.7491680145263672,0.0,15467950.0,
0.0005,10.0,0.002,0.0030755996704101562,0.002,5375.0,0.02,-0.7525251388549804,0.02,15462083.0,
0.001,10.0,0.004,0.0004915237426757812,0.004,859.0,0.04,-0.7555887222290039,0.04,15456729.0,
0.0015,10.0,0.006,-0.0004245758056640625,0.006,16776474.0,0.06,-0.7576623916625976,0.06,15453105.0,
0.002,10.0,0.008,-0.0070512771606445306,0.008,16764893.0,0.08,-0.7591747283935547,0.08,15450462.0,
0.0025,10.0,0.01,-0.011846923828125,0.01,16756512.0,0.1,-0.7601800918579101,0.1,15448705.0,
0.003,10.0,0.012,-0.006068801879882812,0.012,16766610.0,0.12,-0.760524559020996,0.12,15448103.0,
0.0035,10.0,0.014,0.00394134521484375,0.014,6888.0,0.14,-0.760249900817871,0.14,15448583.0,
0.004,10.0,0.016,0.009951210021972657,0.016,17391.0,0.16,-0.7599529266357422,0.16,15449102.0,
0.0045,10.0,0.018,0.0061969757080078125,0.018,10830.0,0.18,-0.7593257904052734,0.18,15450198.0,
0.005,10.0,0.02,0.0025142669677734376,0.02,4394.0,0.2,-0.7587427139282227,0.2,15451217.0,
0.0055,10.0,0.022,0.0010786056518554688,0.022,1885.0,0.22,-0.7576623916625976,0.22,15453105.0,
0.006,10.0,0.024,-0.0052001953125,0.024,16768128.0,0.24,-0.7563274383544921,0.24,15455438.0,
0.0065,10.0,0.026,-0.01019439697265625,0.026,16759400.0,0.26,-0.7547264099121094,0.26,15458236.0,
0.007,10.0,0.028,-0.010105133056640625,0.028,16759556.0,0.28,-0.7530126571655273,0.28,15461231.0,
0.0075,10.0,0.03,0.0015432357788085938,0.03,2697.0,0.3,-0.7507621765136718,0.3,15465164.0,
0.008,10.0,0.032,0.010576629638671875,0.032,18484.0,0.32,-0.7485912322998046,0.32,15468958.0,
0.0085,10.0,0.034,0.010783767700195313,0.034,18846.0,0.34,-0.7466920852661133,0.34,15472277.0,
0.009,10.0,0.036,0.006838417053222656,0.036,11951.0,0.36,-0.7469341278076171,0.36,15471854.0,
0.0095,10.0,0.038,0.006474494934082031,0.038,11315.0,0.38,-0.7517034530639648,0.38,15463519.0,
0.01,10.0,0.04,0.00130462646484375,0.04,2280.0,0.4,-0.7609033584594727,0.4,15447441.0,
0.0105,10.0,0.042,-0.00463714599609375,0.042,16769112.0,0.42,-0.7720287322998046,0.42,15427998.0,
0.011,10.0,0.044,-0.00665130615234375,0.044,16765592.0,0.44,-0.7828502655029297,0.44,15409086.0,
0.0115,10.0,0.046,0.004813385009765625,0.046,8412.0,0.46,-0.7927740097045898,0.46,15391743.0,
0.012,10.0,0.048,0.012070083618164062,0.048,21094.0,0.48,-0.8007442474365234,0.48,15377814.0,
0.0125,10.0,0.05,0.014270782470703125,0.05,24940.0,0.5,-0.807242202758789,0.5,15366458.0,
0.013,10.0,0.052,0.008412551879882811,0.052,14702.0,0.52,-0.8119806289672852,0.52,15358177.0,
0.0135,10.0,0.054,0.00569915771484375,0.054,9960.0,0.54,-0.8153079986572266,0.54,15352362.0,
0.014,10.0,0.056,0.004255485534667969,0.056,7437.0,0.56,-0.8167522430419921,0.56,15349838.0,
0.0145,10.0,0.058,-0.0017881393432617188,0.058,16774091.0,0.58,-0.8173261642456054,0.58,15348835.0,
